,model,source,target,similarity
2340,Julian,024986,110761,0.206
2341,Julian,175259,079002,0.215
2342,Julian,142210,062182,0.249
2343,Julian,069581,089669,0.201
2344,Julian,072718,161274,0.212
2345,Julian,170507,114397,0.212
2346,Julian,099347,068234,0.201
2347,Julian,159089,112207,0.21
2348,Julian,170975,173653,0.216
2349,Julian,087680,005084,0.223
2350,Julian,045751,085083,0.212
2351,Julian,016936,007313,0.237
2352,Julian,065994,110552,0.207
2353,Julian,016544,101136,0.203
2354,Julian,192661,086554,0.205
2355,Julian,064401,058276,0.202
2356,Julian,053448,077884,0.213
2357,Julian,193786,096074,0.21
2358,Julian,009164,085213,0.216
2359,Julian,151657,017472,0.23
2360,Julian,102830,019057,0.214
2361,Julian,037614,117559,0.202
2362,Julian,086767,140461,0.227
2363,Julian,005103,079659,0.201
2364,Julian,068814,111773,0.208
2365,Julian,094560,022360,0.217
2366,Julian,012828,096702,0.231
2367,Julian,193021,072764,0.221
2368,Julian,171347,057641,0.228
2369,Julian,098975,123064,0.236
2370,Julian,029806,099726,0.201
2371,Julian,098507,040779,0.202
2372,Julian,143450,195459,0.217
2373,Julian,181581,040938,0.223
2374,Julian,076606,190134,0.241
2375,Julian,089615,058383,0.232
2376,Julian,055203,025187,0.24
2377,Julian,101925,024144,0.202
2378,Julian,059264,193963,0.215
2379,Julian,085672,116778,0.212
2380,Julian,034701,163191,0.218
2381,Julian,104209,189455,0.223
2382,Julian,182333,127670,0.203
2383,Julian,133240,111121,0.205
2384,Julian,124719,076435,0.232
2385,Julian,026974,037730,0.23
2386,Julian,121047,152571,0.204
2387,Julian,014211,132987,0.208
2388,Julian,201678,014335,0.216
2389,Julian,047004,032406,0.211
2390,Julian,172252,189150,0.224
2391,Julian,140545,107773,0.219
2392,Julian,182494,113447,0.209
2393,Julian,018276,172013,0.213
2394,Julian,019391,150583,0.204
2395,Julian,183573,088055,0.202
2396,Julian,132872,088723,0.206
2397,Julian,132400,118859,0.223
2398,Julian,105449,105343,0.222
2399,Julian,176899,159439,0.204
2400,Julian,007656,121828,0.212
2401,Julian,035141,153608,0.229
2402,Julian,129699,134656,0.206
2403,Julian,058856,109324,0.233
2404,Julian,002108,192794,0.21
2405,Julian,153102,044826,0.234
2406,Julian,054443,001589,0.222
2407,Julian,054831,069647,0.217
2408,Julian,161615,144427,0.227
2409,Julian,039126,014431,0.201
2410,Julian,063878,084905,0.231
2411,Julian,019844,005214,0.201
2412,Julian,141305,104503,0.213
2413,Julian,019436,042108,0.213
2414,Julian,173860,136609,0.215
2415,Julian,046644,186309,0.216
2416,Julian,015823,130734,0.216
2417,Julian,120607,022079,0.225
2418,Julian,093919,104827,0.212
2419,Julian,109389,164719,0.239
2420,Julian,112110,036435,0.225
2421,Julian,125159,163064,0.219
2422,Julian,151236,164400,0.211
2423,Julian,154568,158488,0.207
2424,Julian,056777,020963,0.218
2425,Julian,163953,093600,0.228
2426,Julian,163521,109578,0.203
2427,Julian,068007,034360,0.214
2428,Julian,032959,069649,0.244
2429,Julian,041589,060269,0.245
2430,Julian,005562,083045,0.205
2431,Julian,005910,024632,0.218
2432,Julian,086306,059679,0.213
2433,Julian,193832,019173,0.214
2434,Julian,163286,153331,0.204
2435,Julian,048517,094677,0.216
2436,Julian,076267,023289,0.201
2437,Julian,174078,124989,0.217
2438,Julian,130093,039231,0.205
2439,Julian,029015,070508,0.243
2440,Julian,073539,169710,0.203
2441,Julian,098166,191315,0.225
2442,Julian,102784,078307,0.216
2443,Julian,044570,036343,0.215
2444,Julian,044902,091534,0.245
2445,Julian,103663,084482,0.222
2446,Julian,147688,088846,0.215
2447,Julian,185759,137885,0.224
2448,Julian,004322,160723,0.227
2449,Julian,118888,007590,0.206
2450,Julian,049882,036085,0.208
2451,Julian,024195,054106,0.203
2452,Julian,150804,135638,0.234
2453,Julian,045330,179129,0.234
2454,Julian,036392,163257,0.2
2455,Julian,072379,154514,0.201
2456,Julian,170166,066043,0.218
2457,Julian,004485,186471,0.217
2458,Julian,057690,160962,0.205
2459,Julian,111816,089388,0.202
2460,Julian,111464,167728,0.218
2461,Julian,123373,140594,0.231
2462,Julian,016125,121885,0.242
2463,Julian,035952,125538,0.212
2464,Julian,035520,081137,0.24
2465,Julian,074295,172145,0.233
2466,Julian,105028,036911,0.21
2467,Julian,007237,089731,0.216
2468,Julian,132061,112351,0.205
2469,Julian,088434,025655,0.204
2470,Julian,039935,026169,0.201
2471,Julian,054022,160266,0.246
2472,Julian,164958,122361,0.203
2473,Julian,117588,099396,0.228
2474,Julian,153911,121570,0.219
2475,Julian,137098,006760,0.224
2476,Julian,035287,160434,0.206
2477,Julian,200459,001061,0.209
2478,Julian,046225,040364,0.201
2479,Julian,074940,109739,0.221
2480,Julian,074532,055575,0.235
2481,Julian,194839,009579,0.203
2482,Julian,112571,008517,0.203
2483,Julian,088393,028684,0.213
2484,Julian,120266,182913,0.217
2485,Julian,078927,198508,0.232
2486,Julian,015030,149200,0.209
2487,Julian,152323,008394,0.211
2488,Julian,121381,171515,0.232
2489,Julian,055662,039315,0.201
2490,Julian,038307,064957,0.22
2491,Julian,011689,016316,0.229
2492,Julian,089274,025629,0.208
2493,Julian,140683,024873,0.223
2494,Julian,182752,179548,0.203
2495,Julian,133621,100461,0.244
2496,Julian,104668,026354,0.202
2497,Julian,172194,095900,0.209
2498,Julian,059605,091184,0.233
2499,Julian,003329,062625,0.206
2500,Julian,014670,017641,0.237
2501,Julian,121426,178643,0.204
2502,Julian,079315,020608,0.225
2503,Julian,152484,089381,0.224
2504,Julian,121854,105447,0.204
2505,Julian,113331,056595,0.219
2506,Julian,160393,134183,0.203
2507,Julian,031399,093176,0.206
2508,Julian,140124,005067,0.221
2509,Julian,018617,123018,0.205
2510,Julian,101691,187411,0.205
2511,Julian,172633,059218,0.212
2512,Julian,201219,004040,0.213
2513,Julian,047465,069696,0.238
2514,Julian,075404,103822,0.222
2515,Julian,018161,065537,0.203
2516,Julian,140652,069015,0.213
2517,Julian,128469,193336,0.237
2518,Julian,199968,131050,0.217
2519,Julian,116319,157716,0.202
2520,Julian,014106,120962,0.238
2521,Julian,121350,142893,0.206
2522,Julian,160897,105722,0.213
2523,Julian,011658,109483,0.215
2524,Julian,026611,084744,0.215
2525,Julian,169809,185788,0.247
2526,Julian,133157,087597,0.208
2527,Julian,034864,059495,0.209
2528,Julian,085565,133544,0.217
2529,Julian,034416,101221,0.235
2530,Julian,059173,056001,0.208
2531,Julian,152455,168538,0.212
2532,Julian,190584,113674,0.244
2533,Julian,152827,112742,0.243
2534,Julian,067603,124061,0.233
2535,Julian,055114,191598,0.214
2536,Julian,160342,118825,0.217
2537,Julian,089970,181696,0.246
2538,Julian,089502,073189,0.204
2539,Julian,027051,061429,0.224
2540,Julian,096122,127843,0.204
2541,Julian,088897,092322,0.213
2542,Julian,039596,121206,0.231
2543,Julian,078223,075952,0.207
2544,Julian,164989,116158,0.222
2545,Julian,035983,169551,0.212
2546,Julian,058094,162865,0.202
2547,Julian,071968,007004,0.212
2548,Julian,129229,033620,0.209
2549,Julian,141012,043610,0.205
2550,Julian,088342,067051,0.247
2551,Julian,096685,123140,0.227
2552,Julian,156939,114493,0.208
2553,Julian,078584,019340,0.21
2554,Julian,058733,033189,0.224
2555,Julian,100000,158459,0.203
2556,Julian,200488,009032,0.201
2557,Julian,007933,066167,0.242
2558,Julian,007541,184745,0.218
2559,Julian,019086,121096,0.227
2560,Julian,030508,053846,0.231
2561,Julian,132717,050982,0.222
2562,Julian,081809,037427,0.246
2563,Julian,095037,121615,0.211
2564,Julian,049853,077730,0.213
2565,Julian,111312,150878,0.24
2566,Julian,123877,076847,0.217
2567,Julian,192904,130665,0.209
2568,Julian,123405,111932,0.204
2569,Julian,036896,191547,0.203
2570,Julian,045446,133364,0.227
2571,Julian,170610,096543,0.225
2572,Julian,099050,018045,0.226
2573,Julian,040318,134078,0.213
2574,Julian,142107,162245,0.237
2575,Julian,189048,064282,0.2
2576,Julian,060608,095824,0.212
2577,Julian,095790,000240,0.223
2578,Julian,167349,124717,0.205
2579,Julian,008433,105781,0.201
2580,Julian,103115,056460,0.205
2581,Julian,087230,170909,0.203
2582,Julian,076511,074360,0.208
2583,Julian,076963,192033,0.244
2584,Julian,143747,012426,0.247
2585,Julian,083489,174772,0.235
2586,Julian,029763,068684,0.214
2587,Julian,098610,057717,0.248
2588,Julian,146019,165420,0.202
2589,Julian,110920,181302,0.215
2590,Julian,048261,074864,0.216
2591,Julian,163982,164556,0.218
2592,Julian,025704,054349,0.202
2593,Julian,130042,083278,0.227
2594,Julian,068771,101586,0.25
2595,Julian,181131,032379,0.25
2596,Julian,086470,004098,0.234
2597,Julian,000938,086135,0.21
2598,Julian,151932,196629,0.2
2599,Julian,122990,017587,0.22
2600,Julian,193491,013607,0.201
2601,Julian,009273,061455,0.211
2602,Julian,166509,109358,0.202
2603,Julian,064716,065945,0.204
2604,Julian,188608,035065,0.224
2605,Julian,061048,063478,0.203
2606,Julian,015327,014915,0.207
2607,Julian,066385,137428,0.212
2608,Julian,078642,104207,0.204
2609,Julian,191002,180930,0.205
2610,Julian,112666,016001,0.204
2611,Julian,088084,033776,0.209
2612,Julian,010479,112484,0.222
2613,Julian,027842,081229,0.203
2614,Julian,054492,189976,0.208
2615,Julian,105498,069474,0.244
2616,Julian,176848,170851,0.204
2617,Julian,074625,164137,0.207
2618,Julian,141801,141379,0.21
2619,Julian,129648,112046,0.201
2620,Julian,035190,150133,0.208
2621,Julian,046132,164378,0.214
2622,Julian,066422,015480,0.213
2623,Julian,066850,009453,0.23
2624,Julian,054335,172719,0.223
2625,Julian,125188,180310,0.228
2626,Julian,039650,178308,0.221
2627,Julian,183205,005268,0.213
2628,Julian,019895,129809,0.202
2629,Julian,030169,048214,0.207
2630,Julian,132376,173995,0.228
2631,Julian,074182,035372,0.207
2632,Julian,046695,062079,0.236
2633,Julian,186929,142784,0.231
2634,Julian,035637,054569,0.213
2635,Julian,100813,107238,0.222
2636,Julian,058352,082088,0.231
2637,Julian,133291,100937,0.242
2638,Julian,018500,050479,0.233
2639,Julian,075065,034244,0.207
2640,Julian,026270,084388,0.236
2641,Julian,011239,113267,0.226
2642,Julian,113026,098909,0.232
2643,Julian,160084,136214,0.23
2644,Julian,121731,031755,0.222
2645,Julian,190642,162687,0.2
2646,Julian,014567,114109,0.215
2647,Julian,059960,196684,0.209
2648,Julian,172283,158353,0.223
2649,Julian,059512,120055,0.214
2650,Julian,085104,018824,0.236
2651,Julian,133944,161047,0.208
2652,Julian,182445,053609,0.234
2653,Julian,182837,026092,0.217
2654,Julian,038010,087366,0.234
2655,Julian,089163,200732,0.239
2656,Julian,055907,135259,0.246
2657,Julian,067262,171431,0.209
2658,Julian,171843,038146,0.218
2659,Julian,098271,101959,0.207
2660,Julian,102493,122689,0.215
2661,Julian,143326,090301,0.202
2662,Julian,130384,060963,0.248
2663,Julian,076170,034991,0.205
2664,Julian,196009,008965,0.211
2665,Julian,025365,017872,0.206
2666,Julian,053499,000291,0.238
2667,Julian,151686,058456,0.215
2668,Julian,020849,187070,0.219
2669,Julian,193757,012667,0.201
2670,Julian,017800,111418,0.202
2671,Julian,158618,008789,0.23
2672,Julian,102334,078529,0.208
2673,Julian,171396,094332,0.204
2674,Julian,086011,030941,0.203
2675,Julian,005675,172641,0.243
2676,Julian,181922,149389,0.212
2677,Julian,068310,137322,0.245
2678,Julian,181550,195277,0.236
2679,Julian,143481,156620,0.203
2680,Julian,110694,130575,0.232
2681,Julian,188269,148757,0.21
2682,Julian,163636,066270,0.25
2683,Julian,056812,060215,0.224
2684,Julian,166168,002515,0.208
2685,Julian,122183,059057,0.219
2686,Julian,151121,179546,0.209
2687,Julian,065290,000812,0.202
2688,Julian,016232,108673,0.217
2689,Julian,192117,194437,0.228
2690,Julian,090308,038134,0.21
2691,Julian,049040,166907,0.226
2692,Julian,057587,072959,0.23
2693,Julian,155798,138147,0.202
2694,Julian,197649,024226,0.204
2695,Julian,024525,157559,0.209
2696,Julian,004792,056936,0.201
2697,Julian,099843,056125,0.204
2698,Julian,028542,144668,0.211
2699,Julian,028930,155825,0.207
2700,Julian,147238,096311,0.238
2701,Julian,045027,073937,0.203
2702,Julian,150761,169229,0.232
2703,Julian,016595,013448,0.221
2704,Julian,057220,188911,0.222
2705,Julian,138928,070031,0.213
2706,Julian,069550,186984,0.212
2707,Julian,069922,079935,0.227
2708,Julian,175288,082838,0.208
2709,Julian,077097,006921,0.212
2710,Julian,045780,032195,0.204
2711,Julian,103574,197635,0.213
2712,Julian,159058,121274,0.239
2713,Julian,103906,024377,0.207
2714,Julian,199399,032718,0.223
2715,Julian,101764,006191,0.235
2716,Julian,085833,198169,0.203
2717,Julian,034532,132303,0.226
2718,Julian,047590,037429,0.214
2719,Julian,085441,078148,0.216
2720,Julian,034940,199729,0.217
2721,Julian,006225,024401,0.244
2722,Julian,075287,078803,0.213
2723,Julian,177098,154175,0.215
2724,Julian,133073,121163,0.223
2725,Julian,182100,080538,0.235
2726,Julian,089854,125186,0.213
2727,Julian,038555,003880,0.201
2728,Julian,055030,015575,0.231
2729,Julian,165538,135301,0.212
2730,Julian,152903,180593,0.222
2731,Julian,047237,085787,0.228
2732,Julian,145028,116365,0.21
2733,Julian,034295,164587,0.208
2734,Julian,172061,158664,0.201
2735,Julian,140776,147295,0.203
2736,Julian,006582,066328,0.217
2737,Julian,157588,087314,0.247
2738,Julian,097646,038630,0.248
2739,Julian,055797,156994,0.219
2740,Julian,026735,183353,0.239
2741,Julian,113911,142023,0.24
2742,Julian,113563,007817,0.23
2743,Julian,190307,093758,0.207
2744,Julian,079547,089096,0.209
2745,Julian,067080,142830,0.222
2746,Julian,014022,121970,0.248
2747,Julian,120393,007465,0.201
2748,Julian,054670,031968,0.228
2749,Julian,088266,036606,0.216
2750,Julian,161426,087707,0.217
2751,Julian,063639,095665,0.209
2752,Julian,132633,093261,0.202
2753,Julian,183740,124255,0.204
2754,Julian,100124,042335,0.204
2755,Julian,173186,048890,0.211
2756,Julian,015662,029226,0.236
2757,Julian,051689,005609,0.242
2758,Julian,120846,004667,0.22
2759,Julian,161381,138769,0.206
2760,Julian,112323,198326,0.221
2761,Julian,096006,026115,0.222
2762,Julian,194219,173779,0.215
2763,Julian,132194,015271,0.221
2764,Julian,173621,022416,0.23
2765,Julian,100683,166887,0.219
2766,Julian,150224,079535,0.223
2767,Julian,057765,086926,0.222
2768,Julian,155908,087810,0.202
2769,Julian,162533,004047,0.203
2770,Julian,111591,010288,0.21
2771,Julian,162941,184358,0.211
2772,Julian,004902,198422,0.22
2773,Julian,004570,018352,0.221
2774,Julian,036267,170734,0.234
2775,Julian,170093,067109,0.206
2776,Julian,016777,124304,0.243
2777,Julian,114568,124194,0.214
2778,Julian,123521,026663,0.226
2779,Julian,192820,103886,0.225
2780,Julian,123953,147079,0.209
2781,Julian,111236,091623,0.229
2782,Julian,049505,151816,0.239
2783,Julian,049977,137047,0.203
2784,Julian,162294,027348,0.202
2785,Julian,024060,043166,0.249
2786,Julian,095113,181806,0.201
2787,Julian,077275,082101,0.204
2788,Julian,131081,044485,0.219
2789,Julian,099174,089047,0.205
2790,Julian,103796,039811,0.205
2791,Julian,028007,124376,0.242
2792,Julian,045910,110309,0.2
2793,Julian,045562,064195,0.226
2794,Julian,102671,022706,0.217
2795,Julian,076392,153963,0.219
2796,Julian,005330,111706,0.202
2797,Julian,181015,099602,0.21
2798,Julian,130166,186251,0.202
2799,Julian,068655,048394,0.207
2800,Julian,163373,005027,0.237
2801,Julian,127398,187549,0.201
2802,Julian,064632,199603,0.203
2803,Julian,151464,080006,0.217
2804,Julian,009357,021469,0.207
2805,Julian,037380,174183,0.208
2806,Julian,171174,055480,0.201
2807,Julian,029647,086692,0.21
2808,Julian,158888,067493,0.206
2809,Julian,143663,137454,0.201
2810,Julian,094753,147818,0.25
2811,Julian,012669,190010,0.227
2812,Julian,110476,198385,0.206
2813,Julian,048345,023878,0.241
2814,Julian,009882,100652,0.238
2815,Julian,193212,176497,0.201
2816,Julian,115328,061484,0.204
2817,Julian,088607,190803,0.203
2818,Julian,063258,034625,0.228
2819,Julian,054211,130114,0.208
2820,Julian,066974,173125,0.214
2821,Julian,153750,191126,0.218
2822,Julian,191681,062535,0.207
2823,Julian,100545,136723,0.201
2824,Julian,035713,112188,0.203
2825,Julian,132252,074312,0.217
2826,Julian,096467,137854,0.234
2827,Julian,027966,192420,0.218
2828,Julian,027514,013848,0.2
2829,Julian,093339,195616,0.204
2830,Julian,015203,049905,0.205
2831,Julian,144209,173318,0.219
2832,Julian,046016,132956,0.207
2833,Julian,043748,017875,0.21
2834,Julian,081699,145449,0.222
2835,Julian,183486,020449,0.219
2836,Julian,141557,013780,0.236
2837,Julian,141925,080122,0.204
2838,Julian,133412,172472,0.202
2839,Julian,018383,121111,0.201
2840,Julian,182561,131108,0.24
2841,Julian,133860,009738,0.238
2842,Julian,104829,136434,0.203
2843,Julian,034153,067568,0.236
2844,Julian,059436,185918,0.24
2845,Julian,101305,150552,0.214
2846,Julian,079681,071729,0.224
2847,Julian,152110,107077,0.203
2848,Julian,165159,020269,0.208
2849,Julian,067346,124013,0.235
2850,Julian,055823,186197,0.209
2851,Julian,097580,094836,0.236
2852,Julian,055451,098851,0.2
2853,Julian,062418,025290,0.202
2854,Julian,160607,132587,0.209
2855,Julian,075141,195901,0.221
2856,Julian,018856,201783,0.247
2857,Julian,169699,167492,0.222
2858,Julian,172400,080296,0.202
2859,Julian,172872,088806,0.22
2860,Julian,059391,010712,0.212
2861,Julian,047656,037668,0.207
2862,Julian,136899,122076,0.242
2863,Julian,187598,026908,0.202
2864,Julian,014831,179127,0.219
2865,Julian,014443,067842,0.228
2866,Julian,067893,046712,0.22
2867,Julian,092579,181067,0.209
2868,Julian,190766,031513,0.216
2869,Julian,079126,039463,0.2
2870,Julian,195038,143974,0.218
2871,Julian,130975,168943,0.221
2872,Julian,119089,029922,0.232
2873,Julian,181474,064640,0.232
2874,Julian,130507,117379,0.229
2875,Julian,005751,042396,0.218
2876,Julian,037046,138308,0.229
2877,Julian,098880,185179,0.201
2878,Julian,029581,026422,0.204
2879,Julian,102210,031966,0.213
2880,Julian,064253,200425,0.233
2881,Julian,056544,094444,0.203
2882,Julian,025994,123982,0.213
2883,Julian,048083,041956,0.211
2884,Julian,143202,134541,0.221
2885,Julian,098355,173291,0.216
2886,Julian,115749,122417,0.206
2887,Julian,017556,103169,0.225
2888,Julian,017924,135064,0.208
2889,Julian,122700,084359,0.205
2890,Julian,009091,049612,0.235
2891,Julian,110017,036963,0.224
2892,Julian,048724,091314,0.24
2893,Julian,188898,035876,0.229
2894,Julian,139599,149739,0.215
2895,Julian,025241,029981,0.207
2896,Julian,162152,107547,0.211
2897,Julian,057304,096247,0.222
2898,Julian,065413,141586,0.217
2899,Julian,065861,133467,0.201
2900,Julian,150645,106478,0.21
2901,Julian,008176,096249,0.223
2902,Julian,052828,007865,0.231
2903,Julian,170880,168531,0.226
2904,Julian,087775,190871,0.22
2905,Julian,004111,175553,0.209
2906,Julian,180234,149705,0.22
2907,Julian,131347,126168,0.213
2908,Julian,095572,090402,0.23
2909,Julian,060898,127728,0.245
2910,Julian,111657,149117,0.207
2911,Julian,045103,059444,0.207
2912,Julian,028814,014754,0.208
2913,Julian,170355,034686,0.222
2914,Julian,028466,155385,0.24
2915,Julian,142442,054263,0.227
2916,Julian,175879,181370,0.212
2917,Julian,077614,032925,0.22
2918,Julian,045675,174004,0.206
2919,Julian,099263,058998,0.208
2920,Julian,103481,003734,0.224
2921,Julian,028310,052655,0.21
2922,Julian,131396,070450,0.218
2923,Julian,142334,176780,0.215
2924,Julian,118618,051597,0.21
2925,Julian,095204,093565,0.205
2926,Julian,162183,064801,0.204
2927,Julian,123636,167443,0.241
2928,Julian,090928,132690,0.21
2929,Julian,021429,063404,0.201
2930,Julian,016812,000779,0.223
2931,Julian,170384,064144,0.232
2932,Julian,103326,104275,0.209
2933,Julian,036170,140365,0.214
2934,Julian,142493,171602,0.222
2935,Julian,131843,030167,0.219
2936,Julian,069302,044035,0.213
2937,Julian,162624,035289,0.221
2938,Julian,060849,082605,0.212
2939,Julian,111686,039002,0.221
2940,Julian,013499,168455,0.216
2941,Julian,057800,098423,0.211
2942,Julian,008600,017809,0.215
2943,Julian,123191,098823,0.218
2944,Julian,193105,200382,0.213
2945,Julian,025537,117632,0.202
2946,Julian,025945,188563,0.228
2947,Julian,005780,071603,0.213
2948,Julian,076722,088510,0.203
2949,Julian,143906,125936,0.221
2950,Julian,119058,001376,0.22
2951,Julian,143574,038223,0.218
2952,Julian,029550,036750,0.239
2953,Julian,171263,011183,0.201
2954,Julian,037097,068627,0.225
2955,Julian,135288,140000,0.21
2956,Julian,009040,189323,0.237
2957,Julian,064525,063372,0.203
2958,Julian,056232,127211,0.208
2959,Julian,188849,052428,0.216
2960,Julian,139548,132719,0.203
2961,Julian,068542,155850,0.213
2962,Julian,130271,159140,0.243
2963,Julian,076085,075552,0.219
2964,Julian,044792,181763,0.215
2965,Julian,102914,160171,0.201
2966,Julian,102566,064696,0.224
2967,Julian,098384,199210,0.215
2968,Julian,165188,156545,0.215
2969,Julian,067397,056536,0.203
2970,Julian,079650,041524,0.244
2971,Julian,011819,191596,0.204
2972,Julian,149358,000995,0.241
2973,Julian,026850,088910,0.202
2974,Julian,097551,138585,0.207
2975,Julian,097923,164956,0.208
2976,Julian,075637,120897,0.2
2977,Julian,177428,063804,0.224
2978,Julian,006695,035404,0.201
2979,Julian,140813,199262,0.226
2980,Julian,172376,149976,0.215
2981,Julian,070169,006257,0.209
2982,Julian,059895,161096,0.217
2983,Julian,047120,186280,0.213
2984,Julian,034182,068187,0.212
2985,Julian,014492,040705,0.217
2986,Julian,067430,059086,0.236
2987,Julian,026385,085434,0.201
2988,Julian,157138,087948,0.23
2989,Julian,038642,173944,0.212
2990,Julian,018887,193516,0.249
2991,Julian,169648,047541,0.241
2992,Julian,080008,079991,0.231
2993,Julian,006132,125544,0.212
2994,Julian,085756,038983,0.204
2995,Julian,047687,073290,0.214
2996,Julian,136848,044885,0.2
2997,Julian,145498,047245,0.217
2998,Julian,101473,147153,0.237
2999,Julian,173536,183618,0.219
3000,Julian,141221,106134,0.201
3001,Julian,019512,106287,0.202
3002,Julian,132283,180414,0.205
3003,Julian,019960,096621,0.244
3004,Julian,176268,081648,0.213
3005,Julian,074077,179997,0.213
3006,Julian,027262,015610,0.221
3007,Julian,148518,085433,0.228
3008,Julian,112034,022701,0.202
3009,Julian,153781,049273,0.237
3010,Julian,078010,176027,0.208
3011,Julian,015907,129980,0.221
3012,Julian,100233,146258,0.201
3013,Julian,058500,120342,0.207
3014,Julian,058972,006953,0.205
3015,Julian,084116,156187,0.223
3016,Julian,007772,033945,0.217
3017,Julian,132524,133705,0.219
3018,Julian,183825,073594,0.206
3019,Julian,168008,192978,0.228
3020,Julian,183457,113606,0.207
3021,Julian,088171,200796,0.2
3022,Julian,112793,178198,0.201
3023,Julian,054915,030798,0.207
3024,Julian,054567,069067,0.201
3025,Julian,109978,140778,0.217
3026,Julian,153026,063190,0.205
3027,Julian,051239,094025,0.2
3028,Julian,127349,136562,0.233
3029,Julian,025156,104971,0.209
3030,Julian,048433,012096,0.202
3031,Julian,048841,051313,0.226
3032,Julian,193564,155735,0.238
3033,Julian,122865,022659,0.204
3034,Julian,202228,199671,0.222
3035,Julian,086585,098042,0.206
3036,Julian,044454,050636,0.247
3037,Julian,029131,102399,0.228
3038,Julian,119439,153028,0.203
3039,Julian,143115,122313,0.207
3040,Julian,163405,086954,0.206
3041,Julian,056653,025000,0.226
3042,Julian,094782,016364,0.202
3043,Julian,009421,194390,0.217
3044,Julian,029696,034818,0.201
3045,Julian,158859,181711,0.215
3046,Julian,102107,077503,0.21
3047,Julian,000318,111079,0.225
3048,Julian,086222,186768,0.2
3049,Julian,005834,132145,0.208
3050,Julian,076896,136448,0.227
3051,Julian,107659,017719,0.213
3052,Julian,068123,081475,0.227
3053,Julian,130610,168654,0.203
3054,Julian,180684,051361,0.22
3055,Julian,118279,041518,0.22
3056,Julian,028771,083858,0.242
3057,Julian,170042,151238,0.214
3058,Julian,045214,197981,0.247
3059,Julian,123257,016705,0.239
3060,Julian,021048,157377,0.209
3061,Julian,111540,082264,0.225
3062,Julian,162990,039070,0.213
3063,Julian,197808,176609,0.202
3064,Julian,024716,183076,0.219
3065,Julian,126509,119913,0.202
3066,Julian,180123,156319,0.212
3067,Julian,069763,002398,0.214
3068,Julian,106019,029254,0.214
3069,Julian,072988,098797,0.244
3070,Julian,103747,001924,0.204
3071,Julian,192483,042754,0.218
3072,Julian,008261,041145,0.24
3073,Julian,150920,106952,0.238
3074,Julian,065704,069981,0.205
3075,Julian,057013,111153,0.216
3076,Julian,074416,068866,0.206
3077,Julian,141640,046301,0.208
3078,Julian,183791,138554,0.229
3079,Julian,071348,144484,0.228
3080,Julian,173157,031830,0.217
3081,Julian,015114,069986,0.206
3082,Julian,078471,169371,0.201
3083,Julian,112827,090715,0.228
3084,Julian,161885,048756,0.227
3085,Julian,096770,125291,0.215
3086,Julian,027603,095045,0.209
3087,Julian,168469,014050,0.227
3088,Julian,183036,093337,0.203
3089,Julian,058161,182439,0.213
3090,Julian,153835,095489,0.202
3091,Julian,153447,155508,0.213
3092,Julian,051658,041719,0.203
3093,Julian,066611,189034,0.223
3094,Julian,161350,023983,0.221
3095,Julian,088962,153269,0.239
3096,Julian,097130,100945,0.209
3097,Julian,026043,141144,0.211
3098,Julian,089885,040538,0.234
3099,Julian,038584,124765,0.201
3100,Julian,113215,167785,0.203
3101,Julian,190471,125682,0.219
3102,Julian,121502,174817,0.235
3103,Julian,079231,120268,0.205
3104,Julian,085490,197285,0.203
3105,Julian,047933,187463,0.203
3106,Julian,172717,173595,0.217
3107,Julian,075256,137426,0.224
3108,Julian,177049,094844,0.239
3109,Julian,089350,063876,0.21
3110,Julian,160510,185344,0.224
3111,Julian,195488,020835,0.2
3112,Julian,055746,061209,0.205
3113,Julian,097697,089485,0.207
3114,Julian,079596,050140,0.201
3115,Julian,050018,071671,0.218
3116,Julian,152207,152429,0.203
3117,Julian,101012,041283,0.22
3118,Julian,059721,085841,0.211
3119,Julian,187128,040073,0.201
3120,Julian,006553,081580,0.212
3121,Julian,182676,119390,0.231
3122,Julian,011941,095352,0.206
3123,Julian,062591,032986,0.226
3124,Julian,011533,096298,0.204
3125,Julian,116072,023224,0.229
3126,Julian,152099,045848,0.207
3127,Julian,190148,011687,0.203
3128,Julian,092357,009821,0.201
3129,Julian,079708,055748,0.203
3130,Julian,128702,048441,0.2
3131,Julian,003093,003384,0.227
3132,Julian,145267,190929,0.245
3133,Julian,047078,180627,0.243
3134,Julian,177570,060563,0.218
3135,Julian,031784,173316,0.229
3136,Julian,157060,174313,0.207
3137,Julian,011294,073683,0.216
3138,Julian,160029,055509,0.208
3139,Julian,062236,188215,0.22
3140,Julian,023583,157988,0.25
3141,Julian,092882,066574,0.21
3142,Julian,050953,040159,0.205
3143,Julian,108212,117586,0.204
3144,Julian,050521,191708,0.208
3145,Julian,187863,084118,0.205
3146,Julian,172589,120675,0.206
3147,Julian,031023,116704,0.21
3148,Julian,176330,114430,0.203
3149,Julian,105392,087999,0.234
3150,Julian,137485,145170,0.227
3151,Julian,144855,192614,0.231
3152,Julian,200044,188102,0.205
3153,Julian,198031,068180,0.207
3154,Julian,093517,179623,0.234
3155,Julian,022816,092853,0.231
3156,Julian,093965,178135,0.219
3157,Julian,164690,045510,0.232
3158,Julian,194056,154198,0.23
3159,Julian,054398,141282,0.231
3160,Julian,148832,041252,0.203
3161,Julian,010373,190529,0.211
